Time,PosX,PosY,PosZ
1567044354.246,-18083.342221301165,-7220.708838711649,18007.929235202508
1567044354.496,-18083.601011307663,-7221.226431513896,18007.474702802043
1567044354.746,-18083.85980205128,-7221.744007638721,18007.02014635427
1567044354.996,-18084.118593531086,-7222.2615670856285,18006.565565859775
1567044355.246,-18084.377385746324,-7222.77910985388,18006.11096131924
1567044355.496,-18084.636178696135,-7223.296635943141,18005.656332733273
1567044355.746,-18084.894972379636,-7223.814145352757,18005.201680102495
1567044355.996,-18085.153766796004,-7224.331638082251,18004.747003427536
1567044356.246,-18085.412561944424,-7224.8491141310515,18004.29230270905
1567044356.496,-18085.671357824016,-7225.366573498599,18003.837577947663
1567044356.746,-18085.93015443394,-7225.884016184449,18003.38282914397
1567044356.996,-18086.188951773376,-7226.401442187926,18002.92805629866
1567044357.246,-18086.447749841438,-7226.918851508679,18002.473259412312
1567044357.496,-18086.706548637303,-7227.436244146014,18002.01843848559
1567044357.746,-18086.965348160138,-7227.953620099477,18001.56359351911
1567044357.996,-18087.224148409103,-7228.470979368438,18001.108724513517
1567044358.246,-18087.482949383317,-7228.988321952544,18000.6538314694
1567044358.496,-18087.741751081987,-7229.50564785106,18000.198914387438
1567044358.746,-18088.000553504222,-7230.022957063564,17999.743973268247
1567044358.996,-18088.25935664921,-7230.540249589463,17999.289008112453
1567044359.246,-18088.518160516083,-7231.057525428252,17998.8340189207
1567044359.496,-18088.77696510402,-7231.574784579439,17998.379005693598
1567044359.746,-18089.035770412138,-7232.092027042418,17997.92396843179
1567044359.996,-18089.294576439654,-7232.609252816648,17997.46890713591
1567044360.246,-18089.553383185685,-7233.126461901658,17997.01382180658
1567044360.496,-18089.81219064936,-7233.643654296873,17996.558712444443
1567044360.746,-18090.07099882989,-7234.160830001743,17996.10357905013
1567044360.996,-18090.329807726397,-7234.677989015778,17995.64842162425
1567044361.246,-18090.58861733805,-7235.195131338434,17995.193240167457
1567044361.496,-18090.84742766399,-7235.712256969102,17994.73803468038
1567044361.746,-18091.106238703404,-7236.229365907326,17994.282805163646
1567044361.996,-18091.365050455406,-7236.746458152549,17993.82755161789
1567044362.246,-18091.62386291917,-7237.263533704256,17993.37227404373
1567044362.496,-18091.882676093846,-7237.780592561892,17992.91697244181
1567044362.746,-18092.141489978625,-7238.297634724928,17992.46164681277
1567044362.996,-18092.400304572617,-7238.814660192824,17992.006297157222
1567044363.246,-18092.659119874974,-7239.331668964962,17991.550923475814
1567044363.496,-18092.9179358849,-7239.848661040996,17991.09552576916
1567044363.746,-18093.17675260151,-7240.365636420211,17990.640104037906
1567044363.996,-18093.435570023976,-7240.882595102186,17990.184658282684
1567044364.246,-18093.69438815144,-7241.39953708637,17989.72918850412
1567044364.496,-18093.953206983064,-7241.916462372148,17989.27369470285
1567044364.746,-18094.21202651802,-7242.433370959083,17988.8181768795
1567044364.996,-18094.47084675543,-7242.950262846607,17988.362635034697
1567044365.246,-18094.72966769448,-7243.467138034124,17987.90706916909
1567044365.496,-18094.98848933429,-7243.983996521194,17987.451479283292
1567044365.746,-18095.24731167406,-7244.500838307242,17986.99586537796
1567044365.996,-18095.50613471293,-7245.017663391711,17986.540227453705
1567044366.246,-18095.76495845004,-7245.534471774157,17986.084565511148
1567044366.496,-18096.023782884535,-7246.051263453875,17985.628879550957
1567044366.746,-18096.28260801561,-7246.568038430491,17985.17316957374
1567044366.996,-18096.541433842376,-7247.084796703468,17984.71743558013
1567044367.246,-18096.80026036401,-7247.60153827212,17984.26167757075
1567044367.496,-18097.059087579706,-7248.118263136035,17983.805895546273
1567044367.746,-18097.317915488562,-7248.63497129469,17983.350089507287
1567044367.996,-18097.57674408974,-7249.1516627475285,17982.894259454442
1567044368.246,-18097.835573382385,-7249.668337493975,17982.438405388355
1567044368.496,-18098.0944033657,-7250.184995533564,17981.98252730969
1567044368.746,-18098.353234038823,-7250.70163686567,17981.52662521905
1567044368.996,-18098.612065400896,-7251.218261489812,17981.070699117096
1567044369.246,-18098.870897451045,-7251.7348694055,17980.61474900442
1567044369.496,-18099.12973018851,-7252.251460612111,17980.158774881682
1567044369.746,-18099.38856361235,-7252.768035109191,17979.70277674951
1567044369.996,-18099.647397721783,-7253.284592896169,17979.24675460853
1567044370.246,-18099.906232515943,-7253.801133972498,17978.790708459397
1567044370.496,-18100.16506799397,-7254.317658337732,17978.334638302706
1567044370.746,-18100.42390415504,-7254.834165991204,17977.878544139116
1567044370.996,-18100.68274099831,-7255.350656932464,17977.422425969264
1567044371.246,-18100.94157852294,-7255.867131160929,17976.966283793758
1567044371.496,-18101.20041672804,-7256.38358867613,17976.510117613252
1567044371.746,-18101.459255612826,-7256.900029477463,17976.05392742838
1567044371.996,-18101.718095176388,-7257.416453564474,17975.59771323975
1567044372.246,-18101.97693541796,-7257.932860936555,17975.141475048025
1567044372.496,-18102.235776336624,-7258.449251593269,17974.68521285381
1567044372.746,-18102.494617931567,-7258.96562553394,17974.228926657768
1567044372.996,-18102.753460201937,-7259.48198275816,17973.772616460497
1567044373.246,-18103.01230314689,-7259.99832326535,17973.316282262655
1567044373.496,-18103.271146765583,-7260.514647054966,17972.859924064865
1567044373.746,-18103.529991057192,-7261.0309541265015,17972.403541867763
1567044373.996,-18103.788836020827,-7261.547244479385,17971.947135671988
1567044374.246,-18104.04768165567,-7262.06351811314,17971.49070547816
1567044374.496,-18104.306527960867,-7262.579775027167,17971.034251286917
1567044374.746,-18104.565374935584,-7263.096015220963,17970.5777730989
1567044374.996,-18104.824222578965,-7263.612238694062,17970.121270914744
1567044375.246,-18105.08307089016,-7264.128445445836,17969.664744735055
1567044375.496,-18105.34191986832,-7264.644635475808,17969.208194560495
1567044375.746,-18105.60076951262,-7265.160808783388,17968.751620391682
1567044375.996,-18105.859619822222,-7265.676965368097,17968.295022229264
1567044376.246,-18106.11847079623,-7266.193105229388,17967.83840007385
1567044376.496,-18106.377322433847,-7266.709228366781,17967.38175392609
1567044376.746,-18106.6361747342,-7267.225334779629,17966.92508378662
1567044376.996,-18106.895027696482,-7267.741424467422,17966.468389656067
1567044377.246,-18107.15388131979,-7268.257497429731,17966.01167153506
1567044377.496,-18107.41273560332,-7268.773553665935,17965.55492942425
1567044377.746,-18107.671590546226,-7269.289593175545,17965.09816332425
1567044377.996,-18107.930446147642,-7269.805615957972,17964.641373235703
1567044378.246,-18108.189302406725,-7270.321622012765,17964.18455915925
